name: PyTrajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m

1.640   -> 38.56131153546798 -0.05120742478091658 1997.3783777950723
1.650   -> 38.78670180849992 -0.05231821308709614 1997.3355701805397
1.660   -> 39.01203403330519 -0.05346633319945132 1997.292828960836
1.670   -> 39.23730592055365 -0.05465243285714174 1997.2501621837557
1.680   -> 39.462515152479774 -0.05587711217167995 1997.207577096857
1.690   -> 39.687659398315056 -0.057140921668964464 1997.1650801390708
1.700   -> 39.912736329695925 -0.05844436052486001 1997.12267693404
1.710   -> 40.137743635952404 -0.059787875004372125 1997.0803722851203
1.720   -> 40.36267903918524 -0.06117185711330284 1997.0381701719834
1.730   -> 40.587540309040854 -0.06259664347015646 1996.996073748778
1.740   -> 40.81232527709455 -0.06406251440498405 1996.9540853438095
1.750   -> 41.03703185075268 -0.06556969329079912 1996.9122064607259
1.760   -> 41.261658026584115 -0.06711834611214502 1996.8704377812035
1.770   -> 41.48620190299105 -0.06870858127432423 1996.8287791691519
1.780   -> 41.710661692128596 -0.0703404496556852 1996.7872296764651
1.790   -> 41.935035730982655 -0.07201394490418107 1996.745787550365
1.800   -> 42.15932249151648 -0.07372900397814662 1996.7044502423898
1.810   -> 42.383520589798465 -0.07548550792987203 1996.6632144190899
1.820   -> 42.60762879402761 -0.07728328292907984 1996.6220759744951
1.830   -> 42.83164603137865 -0.07912210152183785 1996.581030044421
1.840   -> 43.05557139359688 -0.0810016841187803 1996.5400710226686
1.850   -> 43.27940414128279 -0.08292170070478343 1996.499192579178
1.860   -> 43.50314370681874 -0.08488177276048149 1996.4583876801682
1.870   -> 43.72678969590435 -0.08688147538424987 1996.4176486102951
1.880   -> 43.95034188768338 -0.08892033960156612 1996.3769669968349
1.890   -> 44.173800233462245 -0.09099785484702846 1996.3363338358815
1.900   -> 44.39716500054234 -0.093113684627969 1996.2957404414212
1.910   -> 44.6204363280612 -0.09526702417060383 1996.2551756659134
1.920   -> 44.84361501214017 -0.09745749747482296 1996.2146309542927
1.930   -> 45.06670210122231 -0.0996847072073754 1996.1740977782968
1.940   -> 45.28969888675534 -0.10194823547142033 1996.1335676386532
1.950   -> 45.512604913967294 -0.10424655819467932 1996.093019442807
1.960   -> 45.73542186930784 -0.10657925024708764 1996.0524452013613
1.970   -> 45.95815022323972 -0.10894525390915392 1996.011827188817
1.980   -> 46.18079122033923 -0.11134381249765843 1995.9711521792458
1.990   -> 46.40334619902959 -0.11377415844487118 1995.9304066761272
2.000   -> 46.625816579811 -0.11623551642253441 1995.889576954682
2.010   -> 46.84820385334247 -0.11872710640602134 1995.8486491047202
2.020   -> 47.070509568528124 -0.121248146662492 1995.8076090738114
2.030   -> 47.292735320756215 -0.12379785664825542 1995.7664427105935
2.040   -> 47.51488274043233 -0.12637545980204032 1995.725135808027
2.050   -> 47.73695348193953 -0.12898018622244134 1995.6836741464133
2.060   -> 47.95894921314751 -0.1316112752194176 1995.6420435359948
2.070   -> 48.18087160558044 -0.13426797773134652 1995.600229858965
2.080   -> 48.40272232533989 -0.1369495586007552 1995.5582191107178
2.090   -> 48.62450302486466 -0.13965529870343982 1995.5159974401818
2.100   -> 48.84621533559434 -0.1423844969272242 1995.473551189084
2.110   -> 49.06786086158787 -0.14513647199808155 1995.430866930008
2.120   -> 49.289441174133 -0.14791056415273882 1995.3879315031136
2.130   -> 49.51095780736723 -0.1507061366581862 1995.3447320513988
2.140   -> 49.7324122549158 -0.15352257717971907 1995.3012560543984
2.150   -> 49.95380596753838 -0.15635929900023804 1995.2574913602223
2.160   -> 50.175140351762394 -0.15921574209452144 1995.213426215848
2.170   -> 50.39641676946881 -0.16209137406306043 1995.1690492955977
2.180   -> 50.61763653838483 -0.16498569093080911 1995.1243497277392
2.190   -> 50.83880093342806 -0.16789821781685094 1995.0793171191606
2.200   -> 51.05991118883783 -0.17082850948151998 1995.033941578085
2.210   -> 51.28096850102222 -0.17377615075794478 1994.9882137347993
2.220   -> 51.50197403204325 -0.17674075687530486 1994.9421247603834
2.230   -> 51.72292891365816 -0.179721973681313 1994.8956663834383
2.240   -> 51.943834251831454 -0.1827194777715623 1994.848830904819
2.250   -> 52.164691131630484 -0.18573297653341292 1994.8016112103899
2.260   -> 52.385500622416565 -0.18876220811204503 1994.754000781831
2.270   -> 52.60626378324426 -0.19180694130617795 1994.7059937055255
2.280   -> 52.826981668382786 -0.19486697540075684 1994.6575846795733
2.290   -> 53.04765533287623 -0.19794213994364662 1994.6087690189795
2.300   -> 53.26828583806252 -0.201032294473052 1994.55954265907
2.310   -> 53.488874256975166 -0.20413732820201222 1994.5099021571966
2.320   -> 53.70942167955684 -0.20725715966590563 1994.4598446927912
2.330   -> 53.92992921761874 -0.21039173633844818 1994.4093680658393
2.340   -> 54.15039800948586 -0.21354103422119114 1994.3584706938398
2.350   -> 54.37082922427396 -0.21670505741102067 1994.3071516073207
2.360   -> 54.59122406575054 -0.2198838376496436 1994.2554104439848
2.370   -> 54.81158377573831 -0.22307743385851492 1994.2032474415516
2.380   -> 55.03190963702628 -0.2262859316621307 1994.1506634293712
2.390   -> 55.25220297575974 -0.22950944290207861 1994.097659818875
2.400   -> 55.472465163286934 -0.23274810514371427 1994.044238592932
2.410   -> 55.69269761744627 -0.23600208117681934 1993.9904022941766
2.420   -> 55.91290180328375 -0.23927155851110077 1993.936154012367
2.430   -> 56.13307923319628 -0.24255674886691433 1993.8814973708368
2.440   -> 56.3532314665017 -0.24585788766114408 1993.8264365120933
2.450   -> 56.573360108441726 -0.24917523348774467 1993.770976082618
2.460   -> 56.793466808628736 -0.2525090675920596 1993.7151212169153
2.470   -> 57.01355325895192 -0.2558596933376686 1993.6588775208568
2.480   -> 57.2336211909626 -0.259227435664193 1993.602251054366
2.490   -> 57.453672372762306 -0.2626126405342018 1993.54524831348
2.500   -> 57.673708605420934 -0.2660156743671175 1993.4878762118265
2.510   -> 57.89373171895548 -0.2694369234578147 1993.43014206155
2.520   -> 58.113743567902866 -0.2728767933774496 1993.3720535537198
2.530   -> 58.33374602652306 -0.27633570835394033 1993.3136187382486
2.540   -> 58.55374098367098 -0.2798141106294556 1993.2548460033518
2.550   -> 58.773730337377806 -0.2833124597922451 1993.195744054573
2.560   -> 58.99371598918414 -0.2868312320801771 1993.136321893404
2.570   -> 59.21369983826878 -0.29037091965342365 1993.076588795526
2.580   -> 59.43368377541823 -0.2939320298338615 1993.016554288696
2.590   -> 59.65366905822679 -0.2975149136592642 1992.9562236858794
2.600   -> 59.873658182794756 -0.30112028190823803 1992.8956115124968
2.610   -> 60.09365220502566 -0.30474850317740515 1992.8347230301968
2.620   -> 60.313653718185066 -0.3084003225852006 1992.7735735761075
2.630   -> 60.53366447692339 -0.31207631074877834 1992.7121735945293
2.640   -> 60.753686190474596 -0.3157770480564455 1992.6505336428966
2.650   -> 60.9737205168159 -0.31950312362571487 1992.5886643680483
2.660   -> 61.19376905703563 -0.32325513421867863 1992.5265764824103
2.670   -> 61.41383334995096 -0.3270336831154035 1992.4642807401349
2.680   -> 61.633914867015434 -0.3308393789465622 1992.401787913242
2.690   -> 61.85401500755364 -0.33467283448704704 1992.3391087678117
2.700   -> 62.074135094358155 -0.33853466541285243 1992.276254040277
2.710   -> 62.294276369680496 -0.3424254890240558 1992.213234413872
2.720   -> 62.51443999164511 -0.3463459229372664 1992.1500604952864
2.730   -> 62.73462703111163 -0.3502965837514362 1992.0867427915878
2.740   -> 62.95483846900713 -0.354278085691433 1992.0232916874618
2.750   -> 63.1750751941463 -0.3582910392342549 1991.959717422833
2.760   -> 63.39533800155329 -0.3623360497232059 1991.896030070921
2.770   -> 63.61562759129502 -0.36641371597575173 1991.8322395167916
2.780   -> 63.83594456783155 -0.3705246288911266 1991.7683554364553
2.790   -> 64.05628943988484 -0.37466937006405227 1991.7043872765714
2.800   -> 64.27666262082316 -0.3788485104111686 1991.6403442348087
2.810   -> 64.49706442955431 -0.3830626088169406 1991.576235240914
2.820   -> 64.71749509191675 -0.3873122108059101 1991.5120689385362
2.830   -> 64.93795474255403 -0.39159784724819335 1991.4478536678512
2.840   -> 65.15844342725447 -0.39592003310508644 1991.383597449028
2.850   -> 65.37896110573419 -0.4002792662215362 1991.3193079665768
2.860   -> 65.59950765483912 -0.40467602617206005 1991.2549925546111
2.870   -> 65.82008287213814 -0.4091107731664609 1991.1906581830576
2.880   -> 66.04068647987773 -0.4135839470213855 1991.12631144484
2.890   -> 66.26131812926536 -0.41809596620342304 1991.0619585440636
2.900   -> 66.48197740504787 -0.42264722694903595 1990.9976052852203
2.910   -> 66.70266383034894 -0.4272381024661711 1990.9332570634335
2.920   -> 66.92337687172851 -0.4318689422219125 1990.8689188557616
2.930   -> 67.14411594442636 -0.4365400713200226 1990.8045952135699
2.940   -> 67.36488041775097 -0.44125178997167713 1990.740290255988
2.950   -> 67.58566962057463 -0.446004373062138 1990.6760076644603
2.960   -> 67.80648284689582 -0.4507980698155344 1990.6117506783996
2.970   -> 68.02731936142943 -0.45563310355933856 1990.5475220919539
2.980   -> 68.24817840518679 -0.4605096715895379 1990.4833242518898
2.990   -> 68.46905920100714 -0.46542794513691566 1990.4191590566033
3.000   -> 68.68996095900407 -0.47038806943427514 1990.35502795626
3.010   -> 68.9108828818911 -0.4753901638838646 1990.2909319540702
3.020   -> 69.13182417015237 -0.4804343223237022 1990.2268716087012
3.030   -> 69.35278402702626 -0.4855206133909504 1990.1628470378314
3.040   -> 69.57376166327153 -0.49064908097996135 1990.0988579228417
3.050   -> 69.79475630168837 -0.4958197447921064 1990.034903514645
3.060   -> 70.0157671813691 -0.5010326009740167 1989.97098264065
3.070   -> 70.23679356165604 -0.5062876228404066 1989.907093712848
3.080   -> 70.45783472578759 -0.511584761677222 1989.8432347370185
3.090   -> 70.67888998421654 -0.5169239476204622 1989.7794033230302
3.100   -> 70.89995867758836 -0.5223050906056688 1989.7155966962296
3.110   -> 71.12103987314303 -0.5277280728316751 1989.651810680607
3.120   -> 71.34213329311655 -0.5331927775974243 1989.5880428646494
3.130   -> 71.56323826056278 -0.5386990636189767 1989.5242889616056
3.140   -> 71.78435438414098 -0.5442467677443703 1989.4605452614364
3.150   -> 72.00548124241689 -0.5498357299273268 1989.3968074256243
3.160   -> 72.22661853986122 -0.555465782619888 1989.3330711055942
3.170   -> 72.44776568046129 -0.561136683898161 1989.2693306095248
3.180   -> 72.66892261503627 -0.5668482543937021 1989.20558162814
3.190   -> 72.89008941227914 -0.5726003092203291 1989.14181984864
3.200   -> 73.11126509590584 -0.5783925370481799 1989.0780370270495
3.210   -> 73.33244996453418 -0.5842247501424199 1989.014229003839
3.220   -> 73.55364329164729 -0.5900966513022896 1988.9503876872373
3.230   -> 73.77484558707818 -0.5960080532840735 1988.8865090771299
3.240   -> 73.99605606767858 -0.6019586405386077 1988.8225842690722
3.250   -> 74.21727466151617 -0.6079481627149149 1988.758606702164
3.260   -> 74.43850133230445 -0.6139763694472038 1988.6945697282567
3.270   -> 74.65973607809649 -0.6200430116115357 1988.6304666344035
3.280   -> 74.8809789299517 -0.6261478425536995 1988.5662906653047
3.290   -> 75.10222995060336 -0.6322906192849843 1988.5020350456725
3.300   -> 75.32348923315249 -0.6384711036429304 1988.43769300243
3.310   -> 75.5447568998119 -0.6446890634145171 1988.373257786668
3.320   -> 75.76603310072171 -0.6509442734196307 1988.3087226952803
3.330   -> 75.98731801285498 -0.6572365165530107 1988.2440810922044
3.340   -> 76.20861183902934 -0.6635655847832341 1988.1793264291973
3.350   -> 76.42991480703739 -0.6699312801076156 1988.1144522660747
3.360   -> 76.65122716890563 -0.6763334154622207 1988.049452290354
3.370   -> 76.87254920028856 -0.682771815586466 1987.9843203362377
3.380   -> 77.09388120000142 -0.6892463178420423 1987.9190504028816
3.390   -> 77.315223489692 -0.6957567729861261 1987.8536366718986
3.400   -> 77.53657641364907 -0.7023030458990507 1987.7880735240494
3.410   -> 77.75794033874206 -0.7088850162667759 1987.7223555550775
3.420   -> 77.9793156544841 -0.7155025792186522 1987.6564775906531
3.430   -> 78.20070277320812 -0.7221556459210843 1987.5904347003923
3.440   -> 78.4221021303436 -0.7288441441277977 1987.524222210923
3.450   -> 78.64351418477943 -0.7355680186874788 1987.4578357179769
3.460   -> 78.86493941929723 -0.7423272320095982 1987.391271097486
3.470   -> 79.08637834105768 -0.7491217644892559 1987.3245245156727
3.480   -> 79.3078314821217 -0.7559516148918812 1987.2575924381208
3.490   -> 79.52929939998754 -0.7628168006986094 1987.190471637825
3.500   -> 79.75078267812437 -0.7697173584131223 1987.1231592022152
3.510   -> 79.97228192648306 -0.7766533438306968 1987.0556525391573
3.520   -> 80.19379778196473 -0.7836248322701453 1986.987949381939
3.530   -> 80.41533090882824 -0.7906319187692693 1986.920047793246
3.540   -> 80.63688199901848 -0.7976747182443734 1986.851946168144
3.550   -> 80.85845177239831 -0.8047533656143097 1986.7836432360766
3.560   -> 81.08004097686775 -0.8118680158894431 1986.7151380619025
3.570   -> 81.30165038835588 -0.8190188442258485 1986.6464300459847
3.580   -> 81.52328081067186 -0.8262060459449689 1986.5775189233582
3.590   -> 81.74493307520346 -0.8334298365188935 1986.5084047619966
3.600   -> 81.96660804045295 -0.8406904515213365 1986.4390879602042
3.610   -> 82.18830659140224 -0.8479881465443416 1986.3695692431577
3.620   -> 82.41002963870078 -0.8553231970806722 1986.2998496586263
3.630   -> 82.63177811767193 -0.8626958983718058 1986.2299305718984
3.640   -> 82.85355298713522 -0.8701065652214134 1986.1598136599425
3.650   -> 83.07535522804395 -0.8775555317741747 1986.0895009048338
3.660   -> 83.2971858419396 -0.8850431512597735 1986.0189945864756
3.670   -> 83.51904584922629 -0.8925697957019101 1985.9482972746466
3.680   -> 83.74093628727043 -0.9001358555921846 1985.8774118204049
3.690   -> 83.9628582083324 -0.9077417395287304 1985.8063413468808
3.700   -> 84.18481267733895 -0.9153878738195182 1985.735089239489
3.710   -> 84.40680076950642 -0.9230747020503048 1985.6636591355923
3.720   -> 84.6288235678265 -0.9308026846172703 1985.592054913649
3.730   -> 84.85088216042759 -0.9385722982244715 1985.5202806818759
3.740   -> 85.07297755885129 -0.9463838841842728 1985.448339398272
3.750   -> 85.29511093643063 -0.9542381028151464 1985.376236974849
3.760   -> 85.51728318518904 -0.9621353092105478 1985.303976416539
3.770   -> 85.73949558782516 -0.9700762093948393 1985.2315643788502
3.780   -> 85.9617489066565 -0.9780611704144901 1985.1590038845357
3.790   -> 86.18404451971844 -0.9860909406116438 1985.0863022570218
3.800   -> 86.40638305020454 -0.9941658970117725 1985.0134625075539
3.810   -> 86.6287659561969 -1.0022868265025633 1984.9404925471706
3.820   -> 86.8511937134094 -1.0104541139746217 1984.867395346229
3.830   -> 87.07366784373072 -1.0186685807327263 1984.7941793192545
3.840   -> 87.29618866839961 -1.0269306172905102 1984.720847366474
3.850   -> 87.5187577562333 -1.0352410749183367 1984.647408318854
3.860   -> 87.74137526865226 -1.0436003474002333 1984.5738649776113
3.870   -> 87.96404280419054 -1.0520093112358013 1984.500226501071
3.880   -> 88.1867603610338 -1.060468361040376 1984.4264955631775
3.890   -> 88.40952955017612 -1.0689783935644634 1984.3526815593616
3.900   -> 88.63235020532323 -1.0775398017596018 1984.2787870089437
3.910   -> 88.85522393289445 -1.086153497453758 1984.2048214538752
3.920   -> 89.0781504032448 -1.0948198694200073 1984.1307872327357
3.930   -> 89.3011312016477 -1.1035398392453417 1984.0566939438932
3.940   -> 89.52416686582177 -1.1123140559985774 1983.982547387399
3.950   -> 89.7472578832133 -1.1211431669009595 1983.9083532863044
3.960   -> 89.97040469012683 -1.1300278163695407 1983.8341172735131
3.970   -> 90.1936076710824 -1.1389686450708665 1983.7598448789713
3.980   -> 90.41686715840167 -1.1479662889881657 1983.6855415172236
3.990   -> 90.64018343202333 -1.1570213785052221 1983.6112124753683
4.000   -> 90.8635567195468 -1.1661345375100642 1983.5368629014397
4.010   -> 91.08698719650138 -1.1753063825215528 1983.4624977932456
4.020   -> 91.31047498683685 -1.1845375218418677 1983.3881219876896
4.030   -> 91.53402016362979 -1.1938285547378014 1983.3137401506021
4.040   -> 91.7576227499986 -1.2031800706536564 1983.2393567671052
4.050   -> 91.98128272021891 -1.2125926484584182 1983.1649761325339
4.060   -> 92.20500000102972 -1.2220668557297316 1983.0906023439372
4.070   -> 92.42877447311962 -1.2316032480770631 1983.0162392921777
4.080   -> 92.65260597278152 -1.2412023685062616 1982.9418906546475
4.090   -> 92.87649429372289 -1.2508647468275638 1982.8675598886202
4.100   -> 93.10043918901849 -1.260590899108905 1982.7932502252515
